title,arousal,character,characters_involved,dominance,episode,episode_title,full_dialogue,given_circumstances,importance,internal_thoughts,motivation,pleasure,reflection,scene_arc,scene_id,scene_number,season
Oscar presents the walkathon sheet to Angela — she donates but requires no mailing list | transactional,0.2,Angela,"Angela, Oscar",0.6,4,The Alliance,"Angela: What is this?
Oscar: My nephew does it every year. Anything you could give would be fantastic.
Angela: Okay, but I don't want to be put on a mailing list.",Oscar is circulating the walkathon sponsorship sheet. Angela is at her desk.,2,Oscar wants a walkathon donation. I'm willing to give. I need assurance about the mailing list. That is a reasonable condition.,To donate to the walkathon while protecting herself from future solicitations.,0.1,The no-mailing-list condition was stated. Oscar will honor it or he won't. I've done my part.,Oscar presents the walkathon sponsorship sheet to Angela. She agrees to donate but requires a no-mailing-list guarantee.,S1E04-SC52,52,1
Angela discovers Dwight has the first-aid kit and reclaims it | control,0.5,Angela,Angela,0.8,5,Basketball,"Angela: Has anyone seen the first-aid kit? [Dwight holds the kit up] How many times have I told you? I'm the safety officer, not you.",Angela is looking for the first-aid kit before the game. Dwight has it.,3,Dwight has the kit. I'm the safety officer. Not him. How many times. I said it. He should know.,To reclaim the first-aid kit and reassert her safety officer authority.,0.2,Kit reclaimed. The boundary was stated.,Angela discovers Dwight has the first-aid kit. She reclaims it by citing her role as safety officer.,S1E05-SC14,14,1
"Michael gets elbowed, calls the game, claims the win, tries to collect the Saturday bet, and gives everyone the day off | authority",0.6,Angela,"Angela, Darryl, Dwight, Lonny, Michael, Roy",0.4,5,Basketball,"Michael: [Phyllis scores] Yeah! Yeah! Yeah! In, your, face! Angela, what's the score?
Angela: You're ahead.
Michael: Yeah, baby, here we go!
Michael: [Jim has the ball] Jim! Right here! [runs into the elbow of the guy guarding him] Ow! God! Hold it!
Michael: Foul! Foul!
Michael: That was a flagrant, personal, intentional foul. Right there.
Michael: [mocking voice] Yes, it was. You know what, I'm just being fair.
Michael: Game over. Game over. That is it! I'm sorry, you know? I hate to do it this way but, you know, that's just... we're having a friendly game. It's a shame. This is a damn shame, but we're like a family here and that just, that won't fly.
Dwight: Here, give me that. You have to break the interior bag. [bag explodes]
Michael: Thanks Dwight.
Lonny: Wait, what does that mean? What is it, a tie? What's going on?
Michael: Well, let's just say whoever was ahead won.
Darryl: That was you.
Michael: It was us? Really? I didn't, I didn't know. Great, I mean, I guess you guys are working Saturday. Your face.
Roy: No, no, no, I'm not coming in on Saturday.
Darryl: Yeah, this isn't happening.
Michael: Um... well, you guys, you know, I'm the boss so...
Lonny: So what's that? We're coming in on Monday, right?
Michael: [laughing] You guys believed me? Come on. Dogs, you know, you should know me better than that. No, oh, do you think that would've been good for morale? No. No. No. Exactly, no. I'm embarrassed it was even that close though. So... nah, of course, we're coming in Saturday. Good game. Word.","The game is in its final stretch. Michael gets elbowed, calls the game, declares his team the winner by default, tries to enforce the Saturday work bet, then backs down and cancels it.",2,He asked the score. We're ahead. I said so. That's my role.,To keep score accurately and report it when asked.,0.1,Score reported accurately.,"Michael gets elbowed, calls the game over, declares his team winner by default, attempts to collect the Saturday bet, then backs down when challenged, cancels the Saturday requirement entirely, and exits with 'Word.'",S1E05-SC34,34,1
Dwight eats Angela's candy and uses scheduling power to keep her from enforcing the one-per-person rule | power,0.7,Angela,"Angela, Dwight",-0.7,5,Basketball,"Dwight: [eating Tootsie Rolls from Angela's candy on her desk] Mmm. Good. Mmm.
Angela: They're one per person. [points to sign 'Please take one!!']
Dwight: Would you like to have a vacation this year? That's what I thought. [continues eating Tootsie Rolls] Mmm, delicious.",Dwight is eating Angela's desk candy. Angela invokes the one-per-person rule. Dwight uses his scheduling power as leverage.,4,He's taking multiple Tootsie Rolls. The sign says one per person. I said so. He threatened my vacation. I backed down. He kept eating.,To enforce the one-per-person rule and protect her candy.,-0.6,I backed down. The candy is gone. The scheduling power is real.,Dwight eats multiple pieces of Angela's desk candy. Angela cites the one-per-person rule. Dwight leverages the Saturday schedule. Angela backs down.,S1E05-SC43,43,1
Dwight is wearing a face guard; his CPR credentials are county-certified but Michael's face wasn't for it | exclusion,0.4,Angela,"Angela, Dwight",0.6,5,Basketball,"Angela: [Dwight holds the first aid kit up] I'm the safety officer, not you.
Dwight: Isn't that crazy? I'm a Volunteer Sheriff's Deputy. Lackawanna County says that it's okay for me to perform CPR, but for Michael my lips aren't qualified enough for his perfect little face. It's nuts.
Angela: Is that really necessary?
Dwight: [wearing a face guard] I've almost had my nose broken a dozen times.",Dwight is wearing a face guard near the sidelines. Angela is objecting to him holding the first-aid kit.,3,He has the kit again. I'm the safety officer. I said so. He explained the CPR situation. I asked if the face guard is really necessary. He said twelve times.,To reclaim the first-aid kit and question the face guard.,-0.1,Kit retrieved. The face guard is apparently necessary. Twelve times is a lot.,Dwight is wearing a face guard and holding the first-aid kit. Angela reclaims the kit. Dwight explains that his CPR certification is valid in the county but Michael excluded him from the game. He has almost had his nose broken twelve times.,S1E05-SC47,47,1
Dwight attempts to ask Katy out in private then publicly; she says no to both; Angela chooses gray | rejection,0.4,Angela,"Angela, Dwight, Katy",0.5,6,Hot Girl,"Katy: You seem to like to touch things. Did you try the velvet?
Angela: I don't like to necessarily touch things. I'm just... I'm shopping.
Katy: Oh no, it's fine that you, um. Here, what about the raspberry one? It's really uh, kind of festive. It's got a lot of personality.
Angela: Yeah, uh no.
Dwight: Hey, how's it going? Good. Can I talk to you for a second? In private?
Katy: I don't think so I'm really busy.
Dwight: It will just take a second.
Katy: I can't.
Dwight: Just for a minute.
Katy: I really can't.
Dwight: Please? I wanted to talk to you in private because I wanted to ask you out on a date.
Katy: No.
Dwight: Ok was that no to talking to me in private, or was that no to the date?
Katy: Both.
Katy: What colors do you like?
Angela: Gray. Dark Gray. Charcoal.",Katy is working with Angela in the conference room. Dwight arrives and attempts to ask Katy out privately.,3,"She touched the velvet. I was shopping, not touching. The raspberry is festive — no. Dwight interrupted. He got rejected. I chose gray. Dark gray. Charcoal.",To find a purse that is acceptable to her standards.,0.2,Rejected festive. Chose gray. Acceptable outcome.,Angela is shopping coldly. Dwight arrives and attempts a private ask. Katy refuses twice and redirects. Dwight escalates to the public ask. Katy says no to both. Angela chooses gray.,S1E06-SC28,28,1
Michael presents Tight Ass to Angela citing her caboose; she says no | rejection,0.9,Angela,"Angela, Michael",-0.6,1,The Dundies,"Michael: And the 'Tight Ass' award goes to Angela. Not only because she is everybody's favorite stickler, but because she has, a great caboose. So...come on down.
Angela: No.",Michael is presenting the Tight Ass award to Angela.,3,No.,To decline the Tight Ass award.,-0.8,No.,"Michael presents the Tight Ass award to Angela, citing both her stickler reputation and her caboose. Angela says no.",S2E01-SC39,39,2
Angela is the designated driver and no one covers her gas | consequence,0.4,Angela,Angela,0.2,1,The Dundies,"Angela: Yes, I'm the designated driver, which is very important. We need everyone to get home safely. [sighs] But no one ever gives me gas money, and people live all over. It's expensive.",Angela is speaking to the documentary camera about being the designated driver.,4,I'm the designated driver. Very important. Everyone gets home safely. No one gives me gas money. People live all over. It's expensive.,To explain her designated driver role and register the financial imposition.,-0.5,Designated driver. No gas money. The service is provided. The expense is real.,Angela explains her designated driver situation and notes no one covers her gas.,S2E01-SC61,61,2
Dwight asks Angela about the bathroom wall content; offers a butt-or-wiener nod system | absurdism,0.7,Angela,"Angela, Dwight",0.3,1,The Dundies,"Dwight: Angela, it's simple. Just tell me what the bathroom wall says.
Angela: I don't talk about what goes on in the restroom.
Dwight: I'm not asking what you do in there. I just want to know what's written about Michael.
Angela: I don't says those kinds of things out loud. It's inappropriate.
Dwight: Okay, I'll talk. You nod if I get it right. Does it have to do with his butt or his wiener?",Dwight is attempting to get Angela to tell him what was written on the bathroom wall about Michael.,3,I don't talk about what goes on in the restroom. I don't say those kinds of things out loud. It's inappropriate. Butt or wiener. He said that. I did not nod.,To refuse to engage with bathroom wall content under any circumstances.,-0.7,I did not nod. The content of bathrooms is private. I will not participate in this regardless of the framing.,Dwight asks Angela about the bathroom wall content. She refuses on grounds of propriety. Dwight guesses: butt or wiener.,S2E01-SC67,67,2
Michael hijacks the end of the seminar; Stanley's daughter photo comes down; Pam's request is made | harm,0.6,Angela,"Angela, Dwight, Kevin, Meredith, Michael, Pam, Phyllis, Stanley, Toby",0.4,2,Sexual Harassment,"Pam: She's coming in today and maybe just don't joke around about that stuff in front of her.
Toby: Great point.
Pam: Thank you.
Toby: Um... in fact, basic rule of thumb, let's just act everyday like Pam's Mom's coming in. All right. That's it. Um... if anybody has any questions about anything, you know where I sit in the back.
Michael: Hi, is it over?
Toby: Uh, yes!
Michael: No.
Toby: I can go over it with you.
Michael: I know, I know. It's good. It is not over. It is not over til it's over.
Toby: It's over.
Michael: Did he tell you everything? Obviously, he didn't because you all still look relatively happy. Albeit bored. Do you realize what we're losing? Seriously?
Angela: Email forwards.
Michael: Exactly! Mmwwah [blows kiss to Angela]! Can we afford to lose email forwards? Do we want that?
Angela: I hate them. You send me these filthy emails and you say forward them to ten people or you'll have bad luck.
Michael: Give me a break. Umm... Stanley, how about that hot picture you have by your desk? Centerfold in the Catholic schoolgirl's outfit? I mean, it is hot, it is sexy, and it turns him on. And I will admit, best part of my morning is staring at it. But what? Are we just going to take it away?
Stanley: That is my daughter. She goes to Catholic girls' school. I am taking it down right now.
Meredith: Um... what about office romance?
Toby: Office relationships are never a good idea. Yeah. So let's just try to avoid them. But, um, if you already have one, you should disclose it to HR.
Phyllis: All relationships? Eh, even a one-night stand?
Michael: I think the old honor system was just fine. For example, I have never slept with an employee. And, believe me, I could have.
Dwight: Yeah, Meredith.
Michael: No! No! Catherine. Remember her? Remember how hot she was?
Dwight: Yes.
Michael: She would have definitely slept with me.
Kevin: She wasn't that hot.
Michael: Yes, she was. Dammit, Kevin!
Toby: Ok, you know, Michael...",The harassment seminar is ending. Pam asks the office to behave in front of her mother. Michael arrives late and hijacks the conclusion.,3,He asked what we're losing. Email forwards. I said it because it's accurate. Then I said I hate them. Both things are true.,"To name email forwards as the thing being lost, then immediately qualify that she hates them.",-0.4,I named the thing and then immediately said I hate it. That was internally consistent.,"The seminar ends with Pam asking for good behavior. Michael arrives and expands into a fifteen-minute rant about what they're losing — email forwards, Stanley's daughter photo, Catherine — before Toby shuts it down.",S2E02-SC21,21,2
"Kevin, Oscar, and Angela receive a forwarded email with an image of a Senator; Angela says it's fake because she's a Senator | observation",0.4,Angela,"Angela, Kevin, Oscar",0.5,2,Sexual Harassment,"Kevin: [Email chiming] [snickers] Did you see that?
Oscar: I saw it.
Kevin: You can see her...
Angela: It's fake.
Kevin: How do you know?
Angela: She wouldn't do that. She's a Senator.","Kevin, Oscar, and Angela are receiving a forwarded email with an image of a Senator.",3,It's fake. Kevin asked how I know. She's a Senator. Senators don't do that.,To call the image fake and explain why.,-0.2,She's a Senator. That's the full explanation.,"Kevin, Oscar, and Angela receive a forwarded email with an image of a Senator. Angela says it's fake. Kevin asks how she knows. Angela says she's a Senator.",S2E02-SC48,48,2
Jim joins Hate Ball; Kevin names it; Oscar introduces Dunderball | joy,0.6,Angela,"Angela, Jim, Kevin, Oscar",0.7,3,Office Olympics,"Jim: [flicks football onto Kevin's desk] OH!
Kevin: Oh!
Oscar: Sweet!
Jim: Yes! So close. I really love the paper triangle flicking and hitting things game. Yeah.
Kevin: We call it Hate Ball.
Jim: Why?
Kevin: Because of how much Angela hates it.
Jim: Hey, do you guys have any other games?
Kevin: Sometimes we play 'Who can put the most M&M's in their mouth?'
Angela: You
Oscar: You should ask Toby to teach you Dunderball.",Jim has joined the paper football game. Angela reacts. The group discovers additional games.,3,You. That's all I said. I was going to say the word you use before 'are disgusting' or similar. I stopped at you.,To express blanket contempt for the paper football game.,-0.6,I said you. That covered it.,Jim joins Hate Ball. Angela reacts. Kevin names it. Oscar introduces Dunderball.,S2E03-SC11,11,2
"Angela explains she plays games at home with her cats, just not at work | character",0.1,Angela,Angela,0.5,3,Office Olympics,Angela: I do play games. I sing and I dangle things in front of my cats. I play lots of games. Just not at work.,Angela is speaking to the documentary camera about her relationship with games.,4,I sing and dangle things in front of my cats. I play lots of games. Just not at work. That distinction is important.,"To clarify that she does play games, just not at work.",0.4,The distinction is clear. Games at home: yes. Games at work: no.,"Angela explains she plays games at home with her cats, just not at work.",S2E03-SC20,20,2
Angela reveals Pam Pong — counting how many times Jim goes to reception to talk to Pam | observation,0.3,Angela,"Angela, Jim, Pam, Phyllis",0.7,3,Office Olympics,"Pam: Are you sure you don't want to play?
Angela: I'm sure.
Pam: Come on Angela, don't you have a game?
Angela: I have one, yes.
Pam: Well, let's play, what is it?
Angela: I call it Pam Pong. I count how many times Jim gets up from his desk and goes to reception to talk to you.
Pam: We're friends.
Angela: Apparently.
Jim: Very nicely done. I think that's H-O-R for Stanley, and H-O for Phyllis.
Jim: Are you calling me a ho?
Jim: Oh my god. Phyllis, coming alive. I like it.",Angela is asked to join the Office Olympics. She reveals Pam Pong instead. Jim and Phyllis are playing a horse game.,7,I'm sure I don't want to play. I have a game. Pam Pong. I count how many times Jim goes to reception to talk to Pam. Apparently they're friends.,To decline the Office Olympics while revealing Pam Pong.,0.3,Pam Pong is my game. I have extensive data. The apparently was accurate.,Angela declines the Olympics and reveals Pam Pong instead. Jim and Phyllis play a horse game. Phyllis nearly calls herself a ho.,S2E03-SC37,37,2
Oscar and Angela review Kevin's expense reports; Mermaids is flagged; the Stripes precedent invoked | consequence,0.2,Angela,"Angela, Kevin, Oscar",0.6,3,Office Olympics,"Oscar: I mean, you've got, you've got stuff here. You rented 'Mermaids.' You can't... It's a movie. You can't deduct that, you know that.
Kevin: All right.
Angela: It's not an office expense.
Kevin: Yes, thank you.
Angela: Next year, you should file your stuff in a basket.
Oscar: Remember last year he slipped by with 'Stripes.' He rented 'Stripes,' he had it for a week.
Kevin: Please...
Oscar: And that got through, so maybe he's thinking he can do that from now on.
Kevin: Please, please. Please.",Oscar and Angela are reviewing Kevin's expense reports. Kevin has tried to deduct a movie rental.,3,It's not an office expense. Next year file in a basket.,To reinforce Oscar's corrections and suggest a filing system.,0.1,File in a basket. That's the guidance.,Oscar and Angela review Kevin's expense reports. Kevin tried to deduct Mermaids. The Stripes precedent is invoked.,S2E03-SC52,52,2
The real fire alarm sounds; Dwight advocates panic; Angela advocates order | authority,0.9,Angela,"Angela, Dwight, Oscar",0.8,4,The Fire,"Dwight: [alarm sounds] People!
Angela: Okay! Everybody!
Dwight: This is not a test! Move to the exits!
Angela: Do not panic!
Dwight: Head towards the exits.
Angela: Safety partners.
Dwight: Get up off your desks!
Angela: Do not panic.
Oscar: [in phone] No, I don't hear it? Alright.
Dwight: No, panic is warranted!
Angela: Go in single file lines.
Oscar: [in phone] No, no. Finish the...
Dwight: This is not a drill!
Angela: Arms at your sides! Arms at your sides!
Dwight: Please, move quickly! This is a paper company, people! Step lively!
Angela: Go, let's go.
Dwight: This whole place is a tinder box, it is ready to blow!",The fire alarm has gone off. It is a real fire. Dwight and Angela are executing evacuation procedures.,5,Do not panic. Single file. Safety partners. Arms at sides. Do not panic. I am managing the process.,"To execute the evacuation in an orderly, panic-free manner.",-0.2,I said do not panic multiple times. Dwight said panic is warranted. One of us is right.,The fire alarm sounds. Dwight and Angela execute a coordinated evacuation with Dwight advocating panic.,S2E04-SC12,12,2
