title,scene_id,season,episode,scene_number,episode_title,character,characters_involved,given_circumstances,full_dialogue,scene_arc,motivation,internal_thoughts,reflection,importance,pleasure,arousal,dominance
Jim and Pam have a fragmented almost-conversation at the end of the day | almost,S1E01-SC39,1,1,39,Pilot,Jim,"Jim, Pam",The day is over. Jim gave up on the drinks plan after Roy took Pam. Pam stayed to do faxes. They end up walking out at the same moment.,"Pam: Hey.
Jim: Hey.
Jim: How are things?
Pam: Good. I thought you were going out for a drink with...
Jim: Oh no, I just decided not to. How's your headache?
Pam: It's better, thanks.
Jim: Good. Good.
Pam: Yeah.
Jim: That's great
Pam: Is...?
Jim: Yeah?
Pam: Um... Are you...
Jim: Am I walking out?
Pam: Yes.
Jim: Yes, I... Do you want to...
Pam: Yeah.
Jim: Great. Let me just...
Jim: [Car horn honking] Oh, Roy.
Pam: Yeah. Listen, have a nice weekend.
Jim: Yeah, definitely. You too. Enjoy it. [looks at camera] You know what, just come here.","Jim and Pam have a conversation made entirely of fragments and pauses. Everything is almost said and none of it is. Roy's horn ends the moment. Jim looks at the camera and says 'you know what, just come here.'",To walk out with Pam. That's all. Just to walk out together and see what happens in the space of a few more minutes.,"She's still here. Walk with her. I'm going to say something. I don't know what I'm going to say. She's asking me if I'm walking out. Yes I am. Do you want to — yes. Okay. Roy's horn. Of course. Just — you know what, just come here.","I had about forty seconds and then Roy honked. 'You know what, just come here' — I don't fully know what I meant by that. I think I meant: come be where I am, just for a second. She couldn't.",10,0.3,0.8,0.2
Closing character statements — Jim cheerfully demolishes the importance of his own job | self-awareness,S1E01-SC40,1,1,40,Pilot,Jim,"Dwight, Jim, Michael",End-of-day closing character statements for the documentary.,"Dwight: Dwight Schrute. My father's name, also Dwight Schrute. My grandfather's name, Dweide Schrude, Amish. That's my family. I don't know where they came, the Amish, came from originally. Uh, Amland.
Michael: [holding up a Dundie and pretending it is talking] Hello. I'm Michael Scott. I'm the best boss in the world.
Jim: My name is Jim Halpert and I am a sales rep, which is a very important job. Um, without me dozens literally dozens of small businesses would go paperless. They would have to write on their hands, or bed sheets, or who knows you know. Total chaos, total chaos. I mean or they could get their paper somewhere else. Staples maybe. I don't know.","Three closing character statements in sequence. Dwight's lineage, Michael's Dundie self-puppetry, Jim's cheerful self-deprecation. A closing anthology of who these people are.",To be honest about his own optional-ness. Jim can't resist the joke even when the joke is on himself.,Very important job. Dozens of businesses — or Staples. Total chaos — or Staples. I know what I am here. I know what I'm doing. The bit writes itself. The bit is my life and I'm doing the bit.,I am optional and I know it and I'm cheerful about it because the alternative is to take it seriously and that seems worse. The self-deprecation is armor. It works until it doesn't.,6,0.2,0.4,0.5
Dwight sabotages Jim's biggest sales call in retaliation | rivalry,S1E02-SC3,1,2,3,Diversity Day,Jim,"Dwight, Jim","Jim is in the middle of his most important sales call of the year — his annual renewal with Decker, worth roughly 25% of his annual commission. Dwight is at his desk with a shredder.","Jim: That's the thing. It's very sturdy paper and on the back it says, '100% post-consumer content.' What? Hello? Uh-huh. Wait. What? I'm sorry, Mr. Decker. I think I'm losing you. [Shredder whirring] Hello? Hello? Yeah. Hold on one second. I don't know. Hold on one second.
Jim: Do you really have to do that right now?
Dwight: Yes I do. I should have done it weeks ago actually.
Jim: Mr. Decker, I'm sorry about that. What were you... Can you hold on one second? Yeah, just one second. Thanks. [Power off, silence] Hello? That's it. Perfect. So what I was saying... [Dialing tone] Hello? Thanks, Dwight.
Dwight: Retaliation. Tit for tit.
Jim: That is not the expression.
Dwight: Well, it should be.","Jim is mid-call on his most important account of the year when Dwight turns on the shredder directly next to him. The call drops. Jim recovers, retrieves the account — but Dwight gets the last word with his tortured expression of reciprocity.",To complete the most important call of his year without interruption. The Decker account is 25% of his annual commission and today is the day he renews it.,I am on the phone. I am on the most important call I make all year. Dwight knows this. Dwight is turning on the shredder. Okay. I will stay on the call. I will work around the shredder. [call drops] He did it. He actually did it. The call dropped. I have to call back and pretend this was a technical issue.,"Dwight sabotaged my call. The retaliation was for something I definitely did but he can't prove. Tit for tit. He actually said that. The expression is tit for tat, which is also a bad expression. I will recover the Decker call. Probably.",5,-0.7,0.9,0.3
Jim narrates the stakes of his annual Decker call with studied casualness | avoidance,S1E02-SC4,1,2,4,Diversity Day,Jim,Jim,Jim is addressing the documentary camera. The Decker call — his biggest of the year — is underway and being disrupted.,"Jim: This is my biggest sale of the year. They love me over there for some reason. I'm not really sure why but I make one call over there every year, just to renew their account, and that one call ends up being 25% of my commission for the whole year, so I buy a mini bottle of champagne, celebrate a little. And this year I'm pushing recycled paper on them for one percent more. I know. I'm getting cocky. Right?",Jim speaks to camera about the stakes of the Decker call — 25% of his annual commission — and his small act of ambition in pushing for recycled paper. The casualness of how he describes it barely masks that it matters enormously.,"To contextualize the stakes of the Decker call for the documentary audience while projecting confidence. Jim wants to seem in control of a situation that is, in fact, in Dwight's hands.",This is the call. The one call that funds a real portion of my year. I've been doing it for however many years and they always renew and I always get champagne. Small champagne. The recycled paper push is maybe too much. Probably fine.,I said 'I'm getting cocky' and immediately questioned it. That's my thing. I notice when I'm taking a risk and immediately undercut myself for the camera. I do actually want to push the recycled paper. I do actually want the sale.,4,0.2,0.5,0.6
Jim and Pam debate the optimal time to play the winning Freecell move | intimacy,S1E02-SC5,1,2,5,Diversity Day,Jim,"Jim, Pam","Before the diversity seminar begins, Jim and Pam are at the reception desk. The office is quiet and the documentary crew is present.","Jim: Solitaire?
Pam: Yeah, Freecell.
Jim: Six on seven.
Pam: I know. I saw that.
Jim: So then, why didn't you do it?
Pam: I'm saving that 'cause I like it when the cards go T-ts-ts-tch-tch-tch.
Jim: Who doesn't love that?","Jim notices Pam isn't playing Freecell optimally and asks why. She explains she's saving the good move for the sound effect. A small, completely genuine moment of two people enjoying each other.","To connect with Pam without any agenda. Jim just wants a moment of genuine, low-stakes interaction with someone who makes the day feel worth being here.","She's not playing the obvious move. The six on seven is right there. I ask why — not to fix it, just because I'm curious. Her answer is perfect. She's saving it for the sound. That's the right reason to save a move.","This is why I'm here. Not the job. This. She had a completely specific, completely correct reason for her choice and it had nothing to do with winning. I will think about that later in a way I won't admit to myself.",6,0.9,0.5,0.7
Michael uses Oscar as a prop to demonstrate his cultural fluency | performance,S1E02-SC6,1,2,6,Diversity Day,Jim,"Jim, Michael, Mr. Brown, Oscar","Mr. Brown has arrived and is fully set up. Michael spots Oscar near the entrance and pulls him over to introduce him to Mr. Brown, then tries to clear the floor for the seminar to begin.","Michael: Hey, Oscar! How are you doing, man?
Oscar: All right.
Michael: Did you have a good weekend going there?
Oscar: It was fine.
Michael: Oh yeah, I bet it was fun. [to Mr. Brown] Oh, hey! This is Oscar---
Oscar: Martinez.
Michael: Right. See? I don't even know, first-name basis!
Mr. Brown: Great. We're all set.
Michael: Oh hey, well, diversity, everybody, let's do it. Oscar works in... here. Jim, could you wrap it up, please?
Jim: Yeah, uh, Mr. Decker, please.
Michael: It's diversity day, Jim. I wish every day was diversity day.
Jim: You know what? I'm actually going to have to call you back. Thank you. Sorry about that.",Michael intercepts Oscar near the entrance to show Mr. Brown how familiar he is with his staff. He can't remember Oscar's last name. Oscar provides it. Michael turns this into evidence of closeness. Mr. Brown ignores it. Michael then pulls the room together and forces Jim to drop his Decker call.,To stay on the Decker call and not get pulled into a diversity exercise he didn't ask for. Jim wants five more minutes.,Michael is telling me to hang up. I am on the most important call I make all year. He says he wishes every day was diversity day. I have to hang up now. I will deal with Decker after lunch. This is fine.,I had to drop the call. Today of all days. The diversity trainer watched. I smiled like it was fine. It probably is fine. The Decker call always goes fine.,3,-0.3,0.6,0.2
Michael reframes Mr. Brown's failure as his own opening | self-deception,S1E02-SC15,1,2,15,Diversity Day,Jim,"Jim, Michael",The morning session with Mr. Brown has ended. Jim is at his desk making a follow-up call to the Decker account. Michael is in the hallway preparing to run his own diversity session after lunch.,"Jim: Yeah, hi. Is Mr. Decker around? Oh, well, could you just have him call me after lunch? Thank you.
Michael: I pledge to always keep an open mind and an open heart.' I do believe... in that part of the pledge I that just read. But a pledge? Come on. I mean who are we, the Girl Scouts? No. Look... the guy, 'Mr. Brown,' he got us halfway there. He got us talking. Well, no. I got us talking. He got us nothing. He insulted us and he abandoned us. You call that diversity training? I don't. Were there any connections between any of us? Did anyone look each other in the eye? Was there any emotion going on? No. Where was the heart? I didn't see any heart. Where was my Oprah moment? OK, get as much done as you can before lunch because, afterward, I'm going to have you all in tears.",Jim makes a recovery call to the Decker account while Michael monologues in the hallway about his coming afternoon session. Michael has reframed the morning's failure as Mr. Brown's inadequacy and his own opportunity to deliver the real experience.,To recover the Decker call and get a callback scheduled while Michael monologues in the background.,I'm calling Decker's assistant. Getting a callback after lunch. Michael is right next to me delivering a monologue about the morning and he's going to have us all in tears this afternoon. I cannot think about that right now. I need to salvage the account first.,Callback is scheduled. Afternoon is still salvageable. Michael said 'Oprah moment.' He wants an Oprah moment. This is going to be a long afternoon.,4,-0.1,0.5,0.5
Michael interrogates Oscar on whether the word Mexican is offensive | cringe,S1E02-SC18,1,2,18,Diversity Day,Jim,"Jim, Kelly, Kevin, Michael, Oscar",The video has ended. Michael is now leading his own diversity session. Most of the staff has checked out. Kelly leaves mid-session.,"Michael: OK. Questions? Comments? Anybody? Jim?
Jim: Uh, is that it?
Michael: Yes. I only had an hour to put it together but I'm going to add on to it later on.
Kevin: It was kind of hard to hear.
Michael: Uh, yes. That probably had something to do with the camera work. Anybody else? Um...
Kelly: I have a customer meeting.
Michael: Yeah, well, if you leave we'll only have two left. Yes. Enjoy. Absolutely. Namaste. Ok, well since I am leading this, let's get down to business and why don't I just kind of introduce myself, OK? Um. I am Michael and I am part English, Irish, German and Scottish. Sort of a virtual United Nations. But what some of you might not know is that I am also part Native American Indian.
Oscar: What part Native American?
Michael: Two fifteenths.
Oscar: Two fifteenths, that fraction doesn't make any sense.
Michael: Well, you know what, it's kind of hard for me to talk about it. Their suffering. So who else? Let's get this popping. Come on. Who's going? Who's going? Let's go here. Oscar, right here. You're on.
Oscar: OK, Michael, um... Both my parents were born in Mexico.
Michael: Oh, yeah...
Oscar: And, uh, they moved to the United Sates a year before I was born. So I grew up in the United States.
Michael: Wow.
Oscar: My parents were Mexican.
Michael: Wow. That is... That is a great story. That's the American Dream right there, right?
Oscar: Thank... Yeah...
Michael: Um, let me ask you, is there a term besides Mexican that you prefer? Something less offensive?
Oscar: Mexican isn't offensive.
Michael: Well, it has certain connotations.
Oscar: Like what?
Michael: Like... I don't... I don't know.
Oscar: What connotations, Michael? You meant something.
Michael: No. Now, remember that honesty...
Oscar: I'm just curious.
Michael: ...empathy, respect... [Phone ringing] Jim! Jim!
Jim: Hello? Hello?","Michael solicits feedback on his video. Jim's single question deflates it. Kevin notes the audio was bad. Kelly walks out. Michael pivots to self-introduction and ethnic heritage, claims fractional Native American identity, then puts Oscar on the spot about his background, creating genuine discomfort that only ends when a phone rings.",To get back to the Decker callback and not be the last person in the session.,He asked if that's it. It's it. I'm not going to expand on this. Kelly is leaving — she has a customer meeting. I should also leave. I don't leave. I answer the phone when it rings and use it as my exit.,I stayed in that room longer than I needed to. I answered the phone when it rang as an escape and that worked. The session was what I expected it to be.,3,-0.4,0.8,0.3
Jim and Ryan watch Chappelle's Show and talk about women — including Pam | deflection,S1E02-SC23,1,2,23,Diversity Day,Jim,"Jim, Ryan",The diversity exercise is happening in the main office. Jim has stepped away from it. Ryan is at Kelly's computer watching Chappelle's Show.,"Jim: What are you watching?
Ryan: Chappelle's Show.
Jim: Really?
Ryan: I downloaded it on her computer. I hope she doesn't mind. She just had a lot of extra space.
Jim: No way. I think she likes this stuff.
Ryan: Great. She's cute, huh?
Jim: Yeah, you know, she's engaged, but...
Ryan: Oh, no, the girl in the... sketch.
Jim: Oh, yeah. She's hot.","Jim and Ryan have separated from the exercise. Ryan is watching Chappelle's Show on Kelly's computer. They talk about the girl in the sketch and, briefly, about Pam being engaged.",To have a moment of normal human interaction away from the chaos of the diversity exercise.,"Ryan is watching Chappelle's Show. That's a smart choice. I ask about the girl in the sketch. He means the other girl. We agree she's attractive. Ryan mentions Pam is engaged. I said 'yeah, you know, she's engaged but —' but I wasn't going to finish the sentence. There was nothing to finish.",I almost said something about Pam and caught myself. Ryan was asking about a girl in a sketch. I rerouted. That was fine. Nothing happened.,5,0.5,0.5,0.7
Jim calls Decker back and discovers he's lost the account | consequence,S1E02-SC26,1,2,26,Diversity Day,Jim,Jim,"Jim has slipped away from the race-card exercise and is back at his desk, calling the Decker account to salvage the sale. The exercise continues in the background.","Jim: [on the phone] Mr. Decker, we didn't lose your sale today, did we? Excellent. OK. Let me just get your... what's that? No, we didn't close last time. I just need your... Oh. W-What code were you given? Oh, OK. That's actually another salesman here. I can redo it if you want to do that. Oh, he gave you a discount? No, I don't blame you.",Jim calls Decker back and discovers his account has already been taken by another salesman who gave a discount. He loses the sale. The call ends quietly.,To salvage the Decker account that has been disrupted all day by the diversity session.,I'm calling Decker. He's there. Good start. He didn't lose the sale. Great. What code was he given? A discount? Another salesman took the account with a discount. My account. My 25% of commission account. Gone. I tell him I don't blame him. Because I don't. The other salesman gave him a better deal.,"I lost the Decker account. Not because I was bad at my job — because I was pulled off my call at exactly the wrong moment and someone else swept in with a discount. That's diversity day. I'm not going to perform devastation about this. Not a bad day, mostly.",7,-0.8,0.8,0.4
Pam falls asleep on Jim's shoulder; he wakes her gently | intimacy,S1E02-SC28,1,2,28,Diversity Day,Jim,"Jim, Pam",The day is ending. The race card exercise has wound down. Pam has fallen asleep at her desk with her head on Jim's shoulder.,"Jim: [Pam is asleep, resting her head on Jim's shoulder] Um... Hey.
Pam: [stirs] Mmmm.
Jim: Hey.
Pam: Oh.
Jim: We can go.
Pam: Sorry.
Jim: That's fine.","Pam has fallen asleep with her head on Jim's shoulder. Jim wakes her gently, tells her they can go. She apologizes. He says it's fine. The scene is simple and complete.",Nothing. Jim has no agenda here. He's just present.,She fell asleep. Her head is on my shoulder. I'm going to sit here for a minute before I wake her up. Just a minute.,She was asleep and it was fine and I said 'that's fine' and meant it. I lost the Decker account today. This is better.,9,0.9,0.4,0.5
Jim tells the camera it was not a bad day | understatement,S1E02-SC29,1,2,29,Diversity Day,Jim,Jim,"Jim is alone, addressing the documentary camera at the end of the day.",Jim: Uh... Not a bad day.,Jim addresses the camera at the end of the day with a single dry sentence: 'Not a bad day.' He lost his biggest account. He slept next to the woman he has feelings for. He means it.,To land the day in a single sentence for the documentary camera.,Not a bad day. I lost my biggest account. I sat next to Pam while she slept. Not a bad day. That's where I am.,I said the true thing. The accounting of the day comes out net positive and I can't fully explain why and I'm not going to try.,7,0.5,0.2,0.6
Dwight objects to two-player Freecell; Pam ignores him | defiance,S1E02-SC37,1,2,37,Diversity Day,Jim,"Dwight, Jim, Pam","After the main diversity exercise, Jim and Pam are playing Freecell together at reception. Dwight approaches.","Dwight: What you doing?
Jim: Freecell.
Dwight: Solitaire is a one-player game. It can't have two players.
Jim: Well, I mean.
Dwight: What's your win rate?
Pam: Seventy-six percent. What's yours?
Dwight: You're not allowed to play two-player. You need to start over.
Pam: You're doing fine.","After the session, Jim and Pam are playing Freecell together. Dwight interrupts with a rules objection — Freecell isn't a two-player game. Pam ignores him. Jim and Pam keep playing.",To play Freecell with Pam in peace after a full day of chaos.,"Dwight is objecting to a two-player Freecell game. Solitaire is one-player, he says. I tell him Freecell is different. He asks Pam's win rate. She tells him. She ignores his instruction to start over. I love this.",Pam told Dwight her win rate and then told him he was doing fine and just continued playing. That's perfect. That's the correct response to everything Dwight does.,5,0.7,0.4,0.7
Jim swaps Dwight's race card for one that says 'Dwight'; Dwight tries to deduce his own name | rivalry,S1E02-SC42,1,2,42,Diversity Day,Jim,"Dwight, Jim, Pam",Jim has re-entered from the side during the race-card exercise. Dwight is confused about his identity card.,"Jim: Um, what's going on here?
Pam: People treat us like the race on our forehead. And then we guess what race we are.
Jim: Ah, good. Good luck. Doing good. [goes to the index cards and writes another race down]
Dwight: Oh, man, am I a woman?
Jim: Yes, yes.
Dwight: God!
Jim: How embarrassing is it? That's not fair. Here...
Dwight: It's not fair.
Jim: Try this. [takes Dwight's 'Asian' race and switches it with the one he wrote]
Dwight: Thank you. Thank you very much.
Jim: Go get 'em.
Dwight: Good. [clears throat] So, am I a hunter gather culture?
Pam: No.
Dwight: Do I live near a harbor or an ocean?
Pam: No.
Dwight: No, I'm an inland. Am I a mountainous?
Pam: No.
Dwight: Am I nomadic?
Pam: No.
Dwight: Okay, okay, okay, okay. I think I got this. Um, I am treated in a foreign way with a great deal of prejudice. Am I one of those tribes in Africa? The piggies, or whatever?
Pam: No.
Dwight: No. But I am, I am human, right? [Pam hesitates]","Jim finds Dwight mid-exercise, confused and frustrated. Jim helps by swapping Dwight's card for one that says 'Dwight.' Dwight methodically eliminates every known ethnicity and begins approaching existential territory.",To find out what's happening and to help Dwight in a way that is technically helpful but primarily funny.,I walk in and the whole race-card exercise is happening. Dwight has Asian on his forehead and is frustrated. I swap his card for one that says 'Dwight.' Now he's working with Dwight's own race. This is a gift. He thanks me. He genuinely thanks me.,Dwight thanked me for giving him his own name as a race and proceeded to try to deduce it from first principles. He asked if he was human and Pam hesitated. That's the best moment of the day.,6,0.8,0.8,0.8
